ticker,date,close,volume
ADBE,2025-05-12,395.94000244140625,3157700
ADBE,2025-05-13,397.3999938964844,2664100
ADBE,2025-05-14,399.4700012207031,2409200
ADBE,2025-05-15,404.69000244140625,2763800
ADBE,2025-05-16,417.1300048828125,5391500
ADBE,2025-05-19,420.67999267578125,3008000
ADBE,2025-05-20,417.6099853515625,2453000
ADBE,2025-05-21,414.0299987792969,2495800
ADBE,2025-05-22,414.3299865722656,1889500
ADBE,2025-05-23,407.69000244140625,2087700
ADBE,2025-05-27,413.1000061035156,2680400
ADBE,2025-05-28,412.2300109863281,2246500
ADBE,2025-05-29,413.3599853515625,1780400
ADBE,2025-05-30,415.0899963378906,4231300
ADBE,2025-06-02,403.3999938964844,4153700
ADBE,2025-06-03,412.489990234375,2737500
ADBE,2025-06-04,413.9100036621094,1843400
ADBE,2025-06-05,415.20001220703125,2275500
ADBE,2025-06-06,416.9200134277344,2146900
ADBE,2025-06-09,416.260009765625,3034200
ADBE,2025-06-10,416.05999755859375,2627400
ADBE,2025-06-11,412.8399963378906,3385400
ADBE,2025-06-12,413.67999267578125,6313300
ADBE,2025-06-13,391.67999267578125,10629700
ADBE,2025-06-16,401.7300109863281,6798300
ADBE,2025-06-17,382.67999267578125,6866300
ADBE,2025-06-18,378.0400085449219,4808900
ADBE,2025-06-20,376.9200134277344,8126900
ADBE,2025-06-23,380.1199951171875,3841800
ADBE,2025-06-24,382.3399963378906,4797100
ADBE,2025-06-25,387.54998779296875,3718800
ADBE,2025-06-26,384.95001220703125,3139700
ADBE,2025-06-27,385.8299865722656,5083800
ADBE,2025-06-30,386.8800048828125,4645500
ADBE,2025-07-01,392.1000061035156,4516400
ADBE,2025-07-02,378.4700012207031,6912200
ADBE,2025-07-03,379.30999755859375,2863700
ADBE,2025-07-07,376.92999267578125,3545100
ADBE,2025-07-08,382.239990234375,3708200
ADBE,2025-07-09,373.3800048828125,4726600
ADBE,2025-07-10,371.42999267578125,4022500
ADBE,2025-07-11,363.3500061035156,3548700
ADBE,2025-07-14,366.989990234375,2898700
ADBE,2025-07-15,364.17999267578125,2551000
ADBE,2025-07-16,361.7699890136719,3592900
ADBE,2025-07-17,366.45001220703125,3340500
ADBE,2025-07-18,365.7900085449219,2459200
ADBE,2025-07-21,367.67999267578125,2770400
ADBE,2025-07-22,372.8699951171875,2449000
ADBE,2025-07-23,372.4599914550781,1994600
ADBE,2025-07-24,371.69000244140625,2692100
ADBE,2025-07-25,370.739990234375,2053200
ADBE,2025-07-28,369.4700012207031,2984200
ADBE,2025-07-29,370.70001220703125,4234200
ADBE,2025-07-30,364.0,3295200
ADBE,2025-07-31,357.69000244140625,4513100
ADBE,2025-08-01,347.79998779296875,4307900
ADBE,2025-08-04,338.8500061035156,6449300
ADBE,2025-08-05,338.739990234375,3909000
ADBE,2025-08-06,345.6199951171875,3347200
ADBE,2025-08-07,338.2699890136719,4661800
ADBE,2025-08-08,341.04998779296875,3507800
ADBE,2025-08-11,333.6499938964844,4366200
ADBE,2025-08-12,338.42999267578125,3569400
ADBE,2025-08-13,351.07000732421875,4375100
ADBE,2025-08-14,348.5799865722656,3745600
ADBE,2025-08-15,354.8500061035156,3718700
ADBE,2025-08-18,357.239990234375,2923000
ADBE,2025-08-19,361.0299987792969,2808000
ADBE,2025-08-20,353.42999267578125,3727900
ADBE,2025-08-21,353.42999267578125,2363200
ADBE,2025-08-22,362.0899963378906,3058600
ADBE,2025-08-25,363.2099914550781,2259500
ADBE,2025-08-26,354.9100036621094,4067400
ADBE,2025-08-27,356.3500061035156,2353800
ADBE,2025-08-28,353.9599914550781,3803100
ADBE,2025-08-29,356.70001220703125,2639300
ADBE,2025-09-02,345.6300048828125,4229400
ADBE,2025-09-03,348.5,3035300
ADBE,2025-09-04,344.30999755859375,4918300
ADBE,2025-09-05,348.9700012207031,4662600
ADBE,2025-09-08,358.6600036621094,5043300
ADBE,2025-09-09,354.05999755859375,4324900
ADBE,2025-09-10,350.1600036621094,4552500
ADBE,2025-09-11,350.54998779296875,11804200
ADBE,2025-09-12,349.3599853515625,14146600
ADBE,2025-09-15,347.1000061035156,6768600
ADBE,2025-09-16,352.7300109863281,6697000
ADBE,2025-09-17,362.07000732421875,6449900
ADBE,2025-09-18,367.4599914550781,4752400
ADBE,2025-09-19,365.8999938964844,7693000
ADBE,2025-09-22,364.0799865722656,4709600
ADBE,2025-09-23,361.7799987792969,3831100
ADBE,2025-09-24,353.2699890136719,6140000
ADBE,2025-09-25,354.1600036621094,3336700
ADBE,2025-09-26,360.3699951171875,3073000
ADBE,2025-09-29,359.4200134277344,4075900
ADBE,2025-09-30,352.75,5360700
ADBE,2025-10-01,343.7200012207031,6505700
ADBE,2025-10-02,351.4800109863281,3955400
ADBE,2025-10-03,346.739990234375,3122100
ADBE,2025-10-06,350.1400146484375,5340200
ADBE,2025-10-07,348.30999755859375,3275500
ADBE,2025-10-08,348.7699890136719,3285000
ADBE,2025-10-09,347.4700012207031,2895500
ADBE,2025-10-10,337.510009765625,4282400
ADBE,2025-10-13,339.32000732421875,3020100
ADBE,2025-10-14,335.94000244140625,3036900
ADBE,2025-10-15,330.6300048828125,3929900
ADBE,2025-10-16,329.2300109863281,4570900
ADBE,2025-10-17,333.260009765625,4035000
ADBE,2025-10-20,343.3999938964844,3903200
ADBE,2025-10-21,357.54998779296875,4389700
ADBE,2025-10-22,354.0899963378906,3436000
ADBE,2025-10-23,354.1199951171875,2408100
ADBE,2025-10-24,353.5199890136719,2016900
ADBE,2025-10-27,357.79998779296875,2828200
ADBE,2025-10-28,359.9100036621094,3005600
ADBE,2025-10-29,337.8599853515625,6746500
ADBE,2025-10-30,339.239990234375,4373200
ADBE,2025-10-31,340.30999755859375,3763400
ADBE,2025-11-03,337.4700012207031,3916600
ADBE,2025-11-04,335.3500061035156,3694300
ADBE,2025-11-05,335.5299987792969,2646700
ADBE,2025-11-06,327.3500061035156,3888700
ADBE,2025-11-07,326.95001220703125,4112600
ADBE,2025-11-10,328.8500061035156,3087000
ADBE,2025-11-11,333.2200012207031,2827200
ADBE,2025-11-12,337.04998779296875,2990200
ADBE,2025-11-13,333.6000061035156,3084600
ADBE,2025-11-14,331.1099853515625,2761400
ADBE,2025-11-17,325.07000732421875,3300000
ADBE,2025-11-18,324.4700012207031,3286400
ADBE,2025-11-19,318.1099853515625,3738400
ADBE,2025-11-20,312.3999938964844,3884800
ADBE,2025-11-21,324.19000244140625,4825400
ADBE,2025-11-24,318.7300109863281,5414400
ADBE,2025-11-25,319.54998779296875,3765000
ADBE,2025-11-26,317.5199890136719,3025000
ADBE,2025-11-28,320.1300048828125,1802200
ADBE,2025-12-01,322.8500061035156,3651300
ADBE,2025-12-02,322.80999755859375,3959500
ADBE,2025-12-03,326.7799987792969,3082200
ADBE,2025-12-04,328.7300109863281,3592300
